elapsed_seconds,total_rss_mb,process_count,max_single_rss_mb
0.08,14.50,1,14.50
2.08,87.43,1,87.43
4.09,124.54,1,124.54
6.21,134.69,2,123.31
8.24,147.19,2,123.31
10.25,164.05,2,123.31
12.26,178.21,2,119.47
14.27,181.18,2,112.31
16.28,214.89,2,112.18
18.34,370.34,3,155.20
20.45,370.34,3,155.20
22.47,370.34,3,155.20
24.48,370.34,3,155.20
26.49,370.47,3,155.33
28.50,370.59,3,155.45
30.55,370.59,3,155.45
32.56,370.72,3,155.58
34.58,370.72,3,155.58
36.64,370.72,3,155.58
40.38,370.84,3,155.70
42.46,370.84,3,155.70
44.49,370.84,3,155.70
46.56,370.97,3,155.83
48.61,370.97,3,155.83
50.62,370.97,3,155.83
52.66,370.97,3,155.83
54.70,371.09,3,155.95
56.72,371.09,3,155.95
58.75,371.09,3,155.95
60.77,371.34,3,156.20
62.80,371.34,3,156.20
64.84,371.34,3,156.20
66.86,371.34,3,156.20
68.94,371.34,3,156.20
70.97,371.34,3,156.20
73.02,371.34,3,156.20
75.05,371.47,3,156.33
77.06,371.47,3,156.33
79.09,371.47,3,156.33
81.14,371.59,3,156.45
83.16,371.72,3,156.58
85.19,371.72,3,156.58
87.23,371.72,3,156.58
89.25,371.84,3,156.70
91.28,371.84,3,156.70
93.30,371.84,3,156.70
95.36,371.97,3,156.83
97.39,371.97,3,156.83
99.42,371.97,3,156.83
101.50,372.09,3,156.95
103.53,372.09,3,156.95
105.56,372.09,3,156.95
107.57,332.76,3,117.62
109.65,336.63,3,121.49
111.67,340.63,3,125.49
113.69,343.41,3,128.27
115.70,347.41,3,132.27
117.74,350.79,3,135.64
119.75,370.47,3,155.33
121.76,370.47,3,155.33
123.79,370.59,3,155.45
125.81,370.59,3,155.45
127.84,370.59,3,155.45
129.85,370.72,3,155.58
131.86,370.72,3,155.58
133.89,370.84,3,155.70
136.00,370.84,3,155.70
138.01,370.84,3,155.70
140.02,370.97,3,155.83
142.06,370.97,3,155.83
144.09,370.97,3,155.83
146.11,371.09,3,155.95
148.15,371.09,3,155.95
150.17,371.09,3,155.95
152.18,371.22,3,156.08
154.19,371.34,3,156.20
156.23,371.34,3,156.20
158.24,371.34,3,156.20
160.33,371.34,3,156.20
162.36,371.47,3,156.33
164.37,371.59,3,156.45
166.41,371.59,3,156.45
168.43,371.59,3,156.45
170.55,371.72,3,156.58
172.58,371.72,3,156.58
174.61,371.84,3,156.70
176.64,371.84,3,156.70
178.65,371.84,3,156.70
180.69,371.97,3,156.83
182.70,371.97,3,156.83
184.76,371.97,3,156.83
186.79,371.97,3,156.83
188.88,371.97,3,156.83
190.93,372.09,3,156.95
192.96,372.22,3,157.08
195.02,372.34,3,157.20
197.04,372.34,3,157.20
199.06,372.34,3,157.20
201.06,332.91,3,117.77
203.08,370.59,3,155.45
205.10,370.59,3,155.45
207.12,370.59,3,155.45
209.15,370.72,3,155.58
211.16,370.72,3,155.58
213.17,370.72,3,155.58
215.19,370.72,3,155.58
217.22,370.72,3,155.58
219.25,370.84,3,155.70
221.28,370.84,3,155.70
223.29,370.84,3,155.70
225.31,370.84,3,155.70
227.37,370.97,3,155.83
229.38,370.97,3,155.83
231.40,370.97,3,155.83
233.41,371.09,3,155.95
235.43,371.22,3,156.08
237.44,371.22,3,156.08
239.47,371.22,3,156.08
241.55,371.34,3,156.20
243.58,371.34,3,156.20
245.60,371.47,3,156.33
247.65,371.47,3,156.33
249.78,371.59,3,156.45
251.79,371.59,3,156.45
253.84,371.59,3,156.45
255.86,371.72,3,156.58
257.88,371.84,3,156.70
259.91,371.97,3,156.83
261.98,371.97,3,156.83
264.00,371.97,3,156.83
266.01,372.09,3,156.95
268.04,372.09,3,156.95
270.05,372.22,3,157.08
272.07,372.22,3,157.08
274.09,372.22,3,157.08
276.11,372.22,3,157.08
278.13,372.22,3,157.08
280.15,372.22,3,157.08
282.18,372.34,3,157.20
284.19,372.34,3,157.20
286.22,372.34,3,157.20
288.25,334.59,3,119.45
290.28,370.47,3,155.33
292.31,370.47,3,155.33
294.33,370.59,3,155.45
296.40,370.59,3,155.45
298.41,370.59,3,155.45
300.42,370.72,3,155.58
302.45,370.72,3,155.58
304.49,370.84,3,155.70
306.50,370.84,3,155.70
308.51,370.97,3,155.83
310.54,370.97,3,155.83
312.55,371.09,3,155.95
314.58,371.09,3,155.95
316.63,371.09,3,155.95
318.64,371.22,3,156.08
320.66,371.22,3,156.08
322.67,371.22,3,156.08
324.69,371.34,3,156.20
326.72,371.34,3,156.20
328.73,371.47,3,156.33
330.78,371.47,3,156.33
332.80,371.47,3,156.33
334.81,371.59,3,156.45
336.88,371.59,3,156.45
338.91,371.72,3,156.58
340.93,371.72,3,156.58
342.94,371.72,3,156.58
345.00,371.84,3,156.70
347.18,371.84,3,156.70
